,Types,Total,Percent
Id,int64,0,0.0
MSSubClass,int64,0,0.0
MSZoning,object,0,0.0
LotFrontage,float64,259,0.1773972602739726
LotArea,int64,0,0.0
Street,object,0,0.0
Alley,object,1369,0.9376712328767123
LotShape,object,0,0.0
LandContour,object,0,0.0
Utilities,object,0,0.0
LotConfig,object,0,0.0
LandSlope,object,0,0.0
Neighborhood,object,0,0.0
Condition1,object,0,0.0
Condition2,object,0,0.0
BldgType,object,0,0.0
HouseStyle,object,0,0.0
OverallQual,int64,0,0.0
OverallCond,int64,0,0.0
YearBuilt,int64,0,0.0
YearRemodAdd,int64,0,0.0
RoofStyle,object,0,0.0
RoofMatl,object,0,0.0
Exterior1st,object,0,0.0
Exterior2nd,object,0,0.0
MasVnrType,object,8,0.005479452054794521
MasVnrArea,float64,8,0.005479452054794521
ExterQual,object,0,0.0
ExterCond,object,0,0.0
Foundation,object,0,0.0
BsmtQual,object,37,0.025342465753424658
BsmtCond,object,37,0.025342465753424658
BsmtExposure,object,38,0.026027397260273973
BsmtFinType1,object,37,0.025342465753424658
BsmtFinSF1,int64,0,0.0
BsmtFinType2,object,38,0.026027397260273973
BsmtFinSF2,int64,0,0.0
BsmtUnfSF,int64,0,0.0
TotalBsmtSF,int64,0,0.0
Heating,object,0,0.0
HeatingQC,object,0,0.0
CentralAir,object,0,0.0
Electrical,object,1,0.0006849315068493151
1stFlrSF,int64,0,0.0
2ndFlrSF,int64,0,0.0
LowQualFinSF,int64,0,0.0
GrLivArea,int64,0,0.0
BsmtFullBath,int64,0,0.0
BsmtHalfBath,int64,0,0.0
FullBath,int64,0,0.0
HalfBath,int64,0,0.0
BedroomAbvGr,int64,0,0.0
KitchenAbvGr,int64,0,0.0
KitchenQual,object,0,0.0
TotRmsAbvGrd,int64,0,0.0
Functional,object,0,0.0
Fireplaces,int64,0,0.0
FireplaceQu,object,690,0.4726027397260274
GarageType,object,81,0.05547945205479452
GarageYrBlt,float64,81,0.05547945205479452
GarageFinish,object,81,0.05547945205479452
GarageCars,int64,0,0.0
GarageArea,int64,0,0.0
GarageQual,object,81,0.05547945205479452
GarageCond,object,81,0.05547945205479452
PavedDrive,object,0,0.0
WoodDeckSF,int64,0,0.0
OpenPorchSF,int64,0,0.0
EnclosedPorch,int64,0,0.0
3SsnPorch,int64,0,0.0
ScreenPorch,int64,0,0.0
PoolArea,int64,0,0.0
PoolQC,object,1453,0.9952054794520548
Fence,object,1179,0.8075342465753425
MiscFeature,object,1406,0.963013698630137
MiscVal,int64,0,0.0
MoSold,int64,0,0.0
YrSold,int64,0,0.0
SaleType,object,0,0.0
SaleCondition,object,0,0.0
SalePrice,int64,0,0.0
train1_test0,int64,0,0.0
