,Types,Total,Percent
Id,int64,0,0.0
MSSubClass,int64,0,0.0
MSZoning,object,4,0.0027416038382453737
LotFrontage,float64,227,0.15558601782042494
LotArea,int64,0,0.0
Street,object,0,0.0
Alley,object,1352,0.9266620973269363
LotShape,object,0,0.0
LandContour,object,0,0.0
Utilities,object,2,0.0013708019191226869
LotConfig,object,0,0.0
LandSlope,object,0,0.0
Neighborhood,object,0,0.0
Condition1,object,0,0.0
Condition2,object,0,0.0
BldgType,object,0,0.0
HouseStyle,object,0,0.0
OverallQual,int64,0,0.0
OverallCond,int64,0,0.0
YearBuilt,int64,0,0.0
YearRemodAdd,int64,0,0.0
RoofStyle,object,0,0.0
RoofMatl,object,0,0.0
Exterior1st,object,1,0.0006854009595613434
Exterior2nd,object,1,0.0006854009595613434
MasVnrType,object,16,0.010966415352981495
MasVnrArea,float64,15,0.01028101439342015
ExterQual,object,0,0.0
ExterCond,object,0,0.0
Foundation,object,0,0.0
BsmtQual,object,44,0.03015764222069911
BsmtCond,object,45,0.030843043180260453
BsmtExposure,object,44,0.03015764222069911
BsmtFinType1,object,42,0.02878684030157642
BsmtFinSF1,float64,1,0.0006854009595613434
BsmtFinType2,object,42,0.02878684030157642
BsmtFinSF2,float64,1,0.0006854009595613434
BsmtUnfSF,float64,1,0.0006854009595613434
TotalBsmtSF,float64,1,0.0006854009595613434
Heating,object,0,0.0
HeatingQC,object,0,0.0
CentralAir,object,0,0.0
Electrical,object,0,0.0
1stFlrSF,int64,0,0.0
2ndFlrSF,int64,0,0.0
LowQualFinSF,int64,0,0.0
GrLivArea,int64,0,0.0
BsmtFullBath,float64,2,0.0013708019191226869
BsmtHalfBath,float64,2,0.0013708019191226869
FullBath,int64,0,0.0
HalfBath,int64,0,0.0
BedroomAbvGr,int64,0,0.0
KitchenAbvGr,int64,0,0.0
KitchenQual,object,1,0.0006854009595613434
TotRmsAbvGrd,int64,0,0.0
Functional,object,2,0.0013708019191226869
Fireplaces,int64,0,0.0
FireplaceQu,object,730,0.5003427004797807
GarageType,object,76,0.0520904729266621
GarageYrBlt,float64,78,0.053461274845784786
GarageFinish,object,78,0.053461274845784786
GarageCars,float64,1,0.0006854009595613434
GarageArea,float64,1,0.0006854009595613434
GarageQual,object,78,0.053461274845784786
GarageCond,object,78,0.053461274845784786
PavedDrive,object,0,0.0
WoodDeckSF,int64,0,0.0
OpenPorchSF,int64,0,0.0
EnclosedPorch,int64,0,0.0
3SsnPorch,int64,0,0.0
ScreenPorch,int64,0,0.0
PoolArea,int64,0,0.0
PoolQC,object,1456,0.997943797121316
Fence,object,1169,0.8012337217272104
MiscFeature,object,1408,0.9650445510623715
MiscVal,int64,0,0.0
MoSold,int64,0,0.0
YrSold,int64,0,0.0
SaleType,object,1,0.0006854009595613434
SaleCondition,object,0,0.0
train1_test0,int64,0,0.0
